alpha,scenario_id,scenario_weight,policy,discounted_profit,oracle_profit,regret,promotion_count,mean_promotion_depth,first_promotion_week,first_discount
0.4,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.4,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.4,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.45,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.5,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.55,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.6,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.65,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.7,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.75,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,1,0.025000000000000005,myopic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,1,0.025000000000000005,nominal_dynamic,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
0.8,1,0.025000000000000005,dro,208.88001835160247,208.88001835160247,0.0,0,0.0,,0.0
